"Method Name","Cyclomatic Complexity","Number Of Arguments","Variable Declarations","Variable References","Max depth of nesting","Halstead Length","Halstead Vocabulary","Halstead Volume","Halstead Difficulty","Halstead Effort","Halstead Bugs","Total depth of nesting","Number Of Casts","Number of loops","Number Of Operators","Number Of Operands","Class References","External Methods","Local Methods","Exceptions Referenced","Exceptions Thrown","Modifiers","Lines Of Code"
"org/asteriskjava/config/dialplan/ExtensionsConfigFileReader.processTextLine:(Ljava/lang/String;ILjava/lang/String;)Lorg/asteriskjava/config/ConfigElement;","5","3","7","6","0","144","38","755.7015619358763","12.0","9068.418743230515","0.2519005206452921","0","2","0","75","69","String ConfigVariable ConfigElement","parseExtension parseVariable","getValue getName trim equals addElement <init> startsWith processTextLine","ConfigParseException","ConfigParseException","protected","14"
"org/asteriskjava/config/dialplan/ExtensionsConfigFileReader.parseExtension:(Ljava/lang/String;ILjava/lang/String;)Lorg/asteriskjava/config/dialplan/ConfigExtension;","1","3","9","6","0","200","49","1122.9419688230416","16.0","17967.071501168666","0.37431398960768053","0","7","0","109","91","String ConfigVariable String[]","harvestApplicationWithArguments parseVariable","getValue getName trim equals length toString <init> indexOf append substring","ConfigParseException","ConfigParseException","protected","16"
"org/asteriskjava/config/dialplan/ExtensionsConfigFileReader.harvestApplicationWithArguments:(Ljava/lang/String;)[Ljava/lang/String;","16","1","13","8","1","303","68","1844.501240898853","42.0","77469.05211775182","0.6148337469662843","2","5","3","172","131","String List String[]","processQuotesAndSlashes","add length <init> substring lastIndexOf split trim size equals toArray toString indexOf append","","","private static","32"
"org/asteriskjava/config/dialplan/ExtensionsConfigFileReader.readExtensionsFile:(Ljava/lang/String;)Lorg/asteriskjava/config/dialplan/ExtensionsConfigFile;","1","1","1","1","0","19","13","70.30835464468075","3.0","210.92506393404224","0.02343611821489358","0","1","0","11","8","String","","readFile <init>","","","public","2"
"org/asteriskjava/config/dialplan/ExtensionsConfigFileReader.processQuotesAndSlashes:(Ljava/lang/String;CC)Ljava/lang/String;","7","3","8","3","1","122","39","644.8190707011944","20.0","12896.381414023888","0.21493969023373147","1","2","1","72","50","String char[]","","toCharArray toString <init> append","","","private static","15"
"org/asteriskjava/config/ExecDirective.<init>:(Ljava/lang/String;)V","1","1","1","1","0","11","8","33.0","2.0","66.0","0.011","0","0","0","6","5","String","","<init>","","","public","3"
"org/asteriskjava/config/ExecDirective.<init>:(Ljava/lang/String;ILjava/lang/String;)V","1","3","3","2","0","15","11","51.89147427955947","2.0","103.78294855911894","0.01729715809318649","0","0","0","8","7","String","","<init>","","","public","3"
"org/asteriskjava/config/ExecDirective.getExecFile:()Ljava/lang/String;","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"org/asteriskjava/config/ExecDirective.rawFormat:(Ljava/lang/StringBuilder;)Ljava/lang/StringBuilder;","1","1","1","1","0","18","11","62.26976913547136","2.0","124.53953827094271","0.020756589711823786","0","0","0","9","9","StringBuilder","","append","","","protected","2"
"org/asteriskjava/config/IncludeDirective.<init>:(Ljava/lang/String;)V","1","1","1","1","0","11","8","33.0","2.0","66.0","0.011","0","0","0","6","5","String","","<init>","","","public","3"
