"Method Name","Cyclomatic Complexity","Number Of Arguments","Variable Declarations","Variable References","Max depth of nesting","Halstead Length","Halstead Vocabulary","Halstead Volume","Halstead Difficulty","Halstead Effort","Halstead Bugs","Total depth of nesting","Number Of Casts","Number of loops","Number Of Operators","Number Of Operands","Class References","External Methods","Local Methods","Exceptions Referenced","Exceptions Thrown","Modifiers","Lines Of Code"
"com/mozilla/hadoop/hbase/mapreduce/MultiScanTableInputFormat$TableRecordReader.close:()V","1","0","0","0","0","7","7","19.651484454403228","2.0","39.302968908806456","0.00655049481813441","0","0","0","4","3","","","close","","","public","2"
"com/mozilla/hadoop/hbase/mapreduce/MultiScanTableInputFormat$TableRecordReader.getCurrentKey:()Lorg/apache/hadoop/hbase/io/ImmutableBytesWritable;","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","IOException InterruptedException","","public","1"
"com/mozilla/hadoop/hbase/mapreduce/MultiScanTableInputFormat$TableRecordReader.getCurrentValue:()Lorg/apache/hadoop/hbase/client/Result;","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","IOException InterruptedException","","public","1"
"com/mozilla/hadoop/hbase/mapreduce/MultiScanTableInputFormat$TableRecordReader.initialize:(Lorg/apache/hadoop/mapreduce/InputSplit;Lorg/apache/hadoop/mapreduce/TaskAttemptContext;)V","1","2","2","2","0","2","2","2.0","0.0","0.0","6.666666666666666E-4","0","0","0","1","1","InputSplit TaskAttemptContext","","","IOException InterruptedException","","public","1"
"com/mozilla/hadoop/hbase/mapreduce/MultiScanTableInputFormat$TableRecordReader.nextKeyValue:()Z","4","0","1","1","0","128","43","694.5618886018685","18.0","12502.113994833633","0.2315206295339562","0","3","0","70","58","IOException","restart","next debug set size access$000 get stringifyException toString <init> getRow append","IOException InterruptedException","","public","16"
"com/mozilla/hadoop/hbase/mapreduce/MultiScanTableInputFormat$TableRecordReader.getProgress:()F","1","0","0","0","0","3","3","4.754887502163469","1.0","4.754887502163469","0.0015849625007211565","0","0","0","2","1","","","","","","public","1"
"com/mozilla/hadoop/hbase/mapreduce/MultiScanTableInputFormat$TableRecordReader.getCurrentValue:()Ljava/lang/Object;","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","getCurrentValue","","IOException InterruptedException","","public volatile","1"
"com/mozilla/hadoop/hbase/mapreduce/MultiScanTableInputFormat$TableRecordReader.getCurrentKey:()Ljava/lang/Object;","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","getCurrentKey","","IOException InterruptedException","","public volatile","1"
"com/mozilla/hadoop/hbase/mapreduce/MultiScanTableInputFormat.<init>:()V","1","0","0","0","0","32","15","125.0204990594726","3.0","375.06149717841777","0.04167349968649087","0","0","0","18","14","","","getLog <init>","","","public","6"
"com/mozilla/hadoop/hbase/mapreduce/MultiScanTableInputFormat.createRecordReader:(Lorg/apache/hadoop/mapreduce/InputSplit;Lorg/apache/hadoop/mapreduce/TaskAttemptContext;)Lorg/apache/hadoop/mapreduce/RecordReader;","2","2","4","4","0","106","38","556.28031642502","14.0","7787.924429950281","0.18542677214167336","0","5","0","59","47","Scan TableSplit InputSplit TaskAttemptContext","","setScan init setStartRow getStartRow getEndRow setHTable setStopRow <init>","IOException InterruptedException","IOException","public","14"
